,id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,review_per_month
0,3781,HARBORSIDE-Walk to subway,East Boston,42.36413,-71.02991,Entire home/apt,184.68,29,26,2024-08-09,0.23,1,292,1,NA,0.23
1,5506,** Fort Hill Inn Private! Minutes to center!**,Roxbury,42.32844,-71.09581,Entire home/apt,112.0,3,132,2024-10-19,0.69,10,148,10,STR-490093,0.69
2,6695,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",Roxbury,42.32802,-71.09387,Entire home/apt,122.0,3,135,2024-11-11,0.72,10,148,8,STR-491702,0.72
3,8789,Curved Glass Studio/1bd facing Park,Beacon Hill,42.35867,-71.06307,Entire home/apt,125.0,91,29,2024-05-15,0.23,4,233,1,NA,0.23
4,10811,"Back Bay Apt Studio-3 blocks to Pru center & ""T""",Back Bay,42.35173,-71.08685,Entire home/apt,110.0,91,9,2019-07-22,0.08,13,273,0,NA,0.08
5,10813,A Brownstone -close to subway-colleges-Newbury St-,Back Bay,42.35061,-71.08787,Entire home/apt,100.0,32,5,2023-11-19,0.07,13,173,0,NA,0.07
6,10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,North End,42.36377,-71.05206,Entire home/apt,184.68,32,1,2024-01-05,0.09,13,364,1,NA,0.09
7,18711,230B1 | The Dorset Redline | 3BR 1BA w/AC | Privat,Dorchester,42.32212,-71.06096,Entire home/apt,143.0,30,52,2023-08-19,0.29,38,123,0,NA,0.29
8,29765,Moroccan Decor Suite,Charlestown,42.37754,-71.06642,Entire home/apt,243.0,2,103,2024-10-27,0.58,1,3,2,STR-454024,0.58
9,40601,Private room & bath - Jamaica Plain,Jamaica Plain,42.31347,-71.11082,Private room,100.0,29,102,2024-12-11,0.59,1,354,4,STR-551851,0.59
10,45987,Garden Studio,Charlestown,42.37424,-71.06081,Entire home/apt,100.0,29,141,2024-11-14,0.81,1,90,4,STR-409822,0.81
11,47521,"Private Room, shared bath in Victorian House/ 1",Dorchester,42.29871,-71.05954,Private room,67.0,1,334,2024-09-02,1.92,8,365,1,STR-492781,1.92
12,60029,Room in geographical heart of Hub,Roxbury,42.32546,-71.08894,Private room,80.0,29,145,2024-02-29,0.85,5,120,1,STR-415714,0.85
13,67774,Corner 1 bed facing Golden Dome,Downtown,42.35689,-71.06206,Entire home/apt,135.0,91,49,2024-05-31,0.33,4,211,1,NA,0.33
14,69369,Entire two-bedroom apartment near Longwood,Roxbury,42.32546,-71.08894,Entire home/apt,100.0,29,118,2019-11-15,0.71,5,173,0,STR-415714,0.71
15,77681,Waterfall Room: Bunker Hill B&B,Charlestown,42.37865,-71.06373,Private room,140.0,29,71,2023-11-04,0.44,1,365,0,STR-415924,0.44
16,77691,Private room in Victorian house,Dorchester,42.29871,-71.05954,Private room,63.0,1,303,2024-10-13,1.8,8,364,4,STR-492781,1.8
17,163941,Fort Hill Inn  2 bed Duplex ApT!  Location!,Roxbury,42.32806,-71.09423,Entire home/apt,164.0,3,290,2024-12-02,1.79,10,144,22,STR-446659,1.79
18,179244,Beautiful room with private bath/#2,Dorchester,42.29871,-71.05954,Private room,70.0,1,110,2024-01-01,0.68,8,97,1,STR-457920,0.68
19,179245,2BR's Apartment in the center of Yerevan,Dorchester,42.29871,-71.05954,Entire home/apt,55.0,1,65,2023-12-29,0.4,8,36,1,Exempt: This listing is a hotel or motel,0.4
20,184893,City Oasis/sleeps 4 near historical sites,Charlestown,42.37823,-71.06778,Entire home/apt,250.0,91,0,NA,1.79,3,90,0,STR-539322,1.79
21,197727,"Great Boston neighborhood , Jamaica Plain",Jamaica Plain,42.31331,-71.12061,Private room,56.0,30,62,2024-11-23,0.38,1,125,5,NA,0.38
22,197972,Serene Studio in a Perfect Location,Jamaica Plain,42.31533,-71.11025,Entire home/apt,141.0,3,536,2024-12-01,3.34,2,117,54,STR-409453,3.34
23,205894,Large bedroom in Victorian House/Room D,Dorchester,42.29871,-71.05954,Private room,68.0,1,217,2024-10-08,1.34,8,364,2,STR-457920,1.34
24,210097,Treetop Haven in the City,Jamaica Plain,42.31685,-71.10867,Entire home/apt,141.0,3,312,2024-11-02,1.93,1,186,22,STR-545902,1.93
25,220676,Private room off the Freedom Trail.,North End,42.36614,-71.05226,Private room,225.0,3,346,2024-11-11,2.15,1,91,23,STR-454055,2.15
26,257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,South Boston,42.33255,-71.04125,Entire home/apt,293.0,2,510,2024-12-01,3.37,1,235,48,STR-411297,3.37
27,297994,Your cozy stay in South Boston,South Boston,42.33583,-71.05271,Entire home/apt,190.0,3,67,2024-12-01,0.43,1,88,14,STR-564151,0.43
